entity_id,entity_type,gem_row_type,canonical_name,aliases,local_name,country,country_2,region,subregion,state_province,city,local_area,major_area,river,latitude,longitude,location_accuracy,capacity_mw,country_1_capacity_mw,country_2_capacity_mw,turbines,status,technology,operator,owner,commissioning_year,retired_year,complex_name,binational,gem_location_id,gem_unit_id,gem_wiki_url,gem_sheet,seed_scope,source_seed,source_url,download_url,source_date,dataset_version,registry_version,raw_record_hash,priority_tier,collection_priority,discovery_status,generation_status,needs_review,notes
GEM-G100000601038,project,facility_or_project_row,Motuo hydroelectric plant,,"雅鲁藏布江下游水电工程, 雅鲁藏布江墨脱水电站",China,,Asia,Eastern Asia,Tibet,,Motuo,Nyingchi,Yaluzangbujiang (Brahmaputra) River,29.1808,95.009,approximate,60000.0,60000.0,0.0,,construction,run-of-river,Huaneng Tibet Yalongzangbu Jiang Hydropower Development and Investment,China Huaneng Group Co Ltd [100%],2045.0,,,No,L100000601028,G100000601038,https://www.gem.wiki/Motuo_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2025-10-23 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,1ad630edd877523436866ea30643e078c0af57b8beb2da3a03ebb4ba677f1482,D,4,not_started,not_applicable,no,
GEM-G100000604498,project,facility_or_project_row,Karnali Chisapani hydroelectric plant,Karnali Chisapani Multipurpose Project,,Nepal,,Asia,Southern Asia,Sudurpashchim Province,Lamki Chuha City,Kailali District,Seti Zone,Karnali River,29.3074,80.9103,approximate,10800.0,10800.0,0.0,18 x 600 MW,shelved - inferred 2 y,conventional storage,,,,,,No,L100000602633,G100000604498,https://www.gem.wiki/Karnali_Chisapani_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2025-11-06 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,c4a44fb4b3b8154e7d5346a3c315c3659ec00e75f2854ede501523b89cf15bf9,D,4,not_started,not_applicable,no,
GEM-G100000602059,project,facility_or_project_row,Siang Upper hydroelectric plant,"Upper Siang, Siang Upper Multipurpose, Siang Upper I",,India,,Asia,Southern Asia,Arunachal Pradesh,Yingkiong,Yingkiong,Upper Siang,Siang River,28.6129,95.0443,approximate,10000.0,10000.0,0.0,16 x 375 MW,announced,conventional storage,,National Hydroelectric Power CORP (NHPC) [100%],,,Upper Siang Multipurpose Storage Complex,No,L100000602038,G100000602059,https://www.gem.wiki/Siang_Upper_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2025-12-08 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,a6245f7963965411d29180101a4fa6dd57425008d51103c21b295e1c7db59e52,D,4,not_started,not_applicable,no,
GEM-G100000600342,project,facility_or_project_row,São Luiz Dos Tapajós hydroelectric plant,,Usina Hidrelétrica São Luiz dos Tapajós,Brazil,,Americas,Latin America and the Caribbean,Pará,Itaituba,,Região Geográfica Intermediária de Santarém,Rio Tapajós,-4.5278,-56.2406,exact,8040.0,8040.0,0.0,,shelved,unknown,,,,,Complexo Hidrelétrico Do Tapajós,No,L100000600341,G100000600342,https://www.gem.wiki/São_Luiz_Dos_Tapajós_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2025-11-06 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,8fbe0b8d71e93440991db7fbfdd02cafaddc3c420ce4d05fb525b978f8955772,D,4,not_started,not_applicable,no,
GEM-G100000604598,project,facility_or_project_row,Manseriche hydroelectric plant,,Central Hidroeléctrica Manseriche,Peru,,Americas,Latin America and the Caribbean,Loreto,Manseriche,,,Río Marañón,-4.5417,-77.3977,approximate,7550.0,7550.0,0.0,,announced,conventional storage,,Organismo Supervisor de la Inversion en Energia y Mineria [100%],2034.0,,,No,L100000604276,G100000604598,https://www.gem.wiki/Manseriche_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2026-02-07 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,058ecf26f968ecdd86bc694509ce9fd6bcef4714b5ed4385d69dc6ea05579418,D,4,not_started,not_applicable,no,
GEM-G100000603042,project,facility_or_project_row,Bunji hydroelectric plant,,,Pakistan,,Asia,Southern Asia,Gilgit-Baltistan,Bunji Village,Bunji Town,Astore District,Indus River,36.0,75.0,approximate,7100.0,7100.0,0.0,20 x 350 MW,pre-construction,run-of-river,,Pakistan Water and Power Development Authority; China Three Gorges CORP (CTG),,,,No,L100000603009,G100000603042,https://www.gem.wiki/Bunji_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2026-01-13 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,1d3a59ed366aafa525c83ca49da2cd87a96bf3bb9913c9d15484704f5e79ded3,D,4,not_started,not_applicable,no,
GEM-G100000602573,project,facility_or_project_row,Mong Ton hydroelectric plant,"Tasang, Mongton",တာဆန်းဆည်,Myanmar,,Asia,South-eastern Asia,Shan State,Mong Ton Capital,Mong Ton township,Mongsat District,Upper Salween River,20.2926,98.8952,approximate,7000.0,7000.0,0.0,,shelved - inferred 2 y,conventional storage,,Sinohydro Corp Ltd; China Three Gorges CORP (CTG); China Southern Power Grid Company Ltd,,,,No,L100000602542,G100000602573,https://www.gem.wiki/Mong_Ton_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2025-12-04 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,da9a955f6fd22464417ead3c55997c024f0e3224844a0c7cf01650096eb9e404,D,4,not_started,not_applicable,no,
GEM-G100000604131,project,facility_or_project_row,Pancheshwar hydroelectric plant,Pancheshwar Multipurpose Project,पञ्चेश्वर बहुउद्देश्यीय आयोजनाको,India,Nepal,Asia,Southern Asia,Uttarakhand,,Lohaghat,Champawat,Mahakali River,29.4447,80.2425,approximate,6480.0,3240.0,3240.0,12 x 540 MW,pre-construction,conventional storage,,Ministry of Water Resources Government of India; Ministry of Energy Government of Nepal,2034.0,,,Yes,L100000604092,G100000604131,https://www.gem.wiki/Pancheshwar_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2025-11-04 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,24e35afa71b6f25c72d1cc63fee60635baca30d426c6b50f5e8f565a0f2ee432,D,4,not_started,not_applicable,no,
GEM-G100000600077,project,facility_or_project_row,Pioneer Burdekin hydroelectric plant,,,Australia,,Oceania,Australia and New Zealand,Queensland,,,,,-21.126,148.4772,exact,5000.0,5000.0,0.0,,cancelled,pumped storage,,,,,,No,L100000600077,G100000600077,https://www.gem.wiki/Pioneer_Burdekin_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2024-12-17 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,2d64ead63b0a78243c6af1dd0d3577bf9545a8b847711f978ba32aaa1cad4341,D,4,not_started,not_applicable,no,
GEM-G100000604449,project,facility_or_project_row,Inga III hydroelectric plant,Inga III Basse-Chute,,DR Congo,,Africa,Sub-Saharan Africa,Kongo Central,,Seke-Banza,,Congo River,-5.5492,13.5484,exact,4800.0,4800.0,0.0,16,pre-construction,conventional storage,,Societe Nationale d'Electricite (SNEL) [100%],,,Grand Inga Complex,No,L100000601479,G100000604449,https://www.gem.wiki/Inga_III_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2025-12-22 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,6738dad8b6a171c4f9333da5f5ad9f0627f12da168f37b5a84284439dee09264,D,4,not_started,not_applicable,no,
