entity_id,entity_type,gem_row_type,canonical_name,aliases,local_name,country,country_2,region,subregion,state_province,city,local_area,major_area,river,latitude,longitude,location_accuracy,capacity_mw,country_1_capacity_mw,country_2_capacity_mw,turbines,status,technology,operator,owner,commissioning_year,retired_year,complex_name,binational,gem_location_id,gem_unit_id,gem_wiki_url,gem_sheet,seed_scope,source_seed,source_url,download_url,source_date,dataset_version,registry_version,raw_record_hash,priority_tier,collection_priority,discovery_status,generation_status,needs_review,notes
GEM-G100000601208,station,facility_or_project_row,Three Gorges Dam hydroelectric plant,,长江三峡水电站,China,,Asia,Eastern Asia,Hubei,Sandouping,Yiling District,Yichang,Yangtze River,30.8369,111.018,exact,22500.0,22500.0,0.0,32 x 700 MW; 2 x 50 MW,operating,conventional storage,China Yangzi River Three Gorges Group,Yanguang Life Insurance Shareholding CO LTD- Wanneng [1%]; China Yangzi River Three Gorges Group Co Ltd [54%]; Yunnan Province Energy Investment Group Co Ltd [3%]; China Nuclear Industry Group Co Ltd [1%]; publicly traded shares [14%]; China Securities and Finance Shareholding Co Ltd [2%]; China Ping'an Life Insurance Shareholding Co Ltd [4%]; Hong Kong Central Accounting Co Ltd [7%]; China Three Gorges Construction (Group) Co Ltd [3%]; Yangguang Life Insurance CO LTD- Jili [1%]; Sichuan Province Energy Investment Group Co Ltd [3%],2012.0,,,No,L100000601194,G100000601208,https://www.gem.wiki/Three_Gorges_Dam_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-09-14 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,3512c3d8274bd0e0ffc231164786834d53212b8569ba9eaf9dbe5a0620fc3131,A,1,not_started,not_started,no,
GEM-G100000600596,station,facility_or_project_row,Baihetan hydroelectric plant,,金沙江白鹤滩水电站,China,,Asia,Eastern Asia,Sichuan,Baihetan,Ningnan,Liangshan AP,Jinshajiang River,27.2226,102.8998,exact,16000.0,16000.0,0.0,16 x 1000 MW,operating,conventional storage,China Yangzi River Three Gorges Group,Yanguang Life Insurance Shareholding CO LTD- Wanneng [1%]; China Yangzi River Three Gorges Group Co Ltd [54%]; Yunnan Province Energy Investment Group Co Ltd [3%]; publicly traded shares [14%]; China Nuclear Industry Group Co Ltd [1%]; China Securities and Finance Shareholding Co Ltd [2%]; Hong Kong Central Accounting Co Ltd [7%]; China Three Gorges Construction (Group) Co Ltd [3%]; Sichuan Province Energy Investment Group Co Ltd [3%]; Yangguang Life Insurance CO LTD- Jili [1%]; China Ping'an Life Insurance Shareholding Co Ltd [4%],2022.0,,,No,L100000600594,G100000600596,https://www.gem.wiki/Baihetan_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-09-14 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,e6b8c0bbd161a22f4e69a0304170d783e930148f57f79e38f75b854aecd465c4,A,1,not_started,not_started,no,
GEM-G100000604112,station,facility_or_project_row,Itaipu hydroelectric plant,,"Central Hidroeléctrica Itaipú, Usina Hidrelétrica de Itaipu",Brazil,Paraguay,Americas,Latin America and the Caribbean,Paraná,Foz do Iguaçu,,Região Geográfica Intermediária de Cascavel,Río Paraná,-25.4078,-54.5892,exact,14000.0,7000.0,7000.0,20 x 700 MW,operating,conventional storage,Itaipu Binacional,Itaipú Binational [100%],1984.0,,,Yes,L100000604073,G100000604112,https://www.gem.wiki/Itaipu_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-05-20 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,1904183efc4ad26704dbe52592ffdeb3280dbb28b81817e4a31b3761520d1df0,A,1,not_started,not_started,no,
GEM-G100000601308,station,facility_or_project_row,Xiluodu hydroelectric plant,,金沙江溪洛渡水电站,China,,Asia,Eastern Asia,Yunnan,,Yongshan,Zhaotong,Jinshajiang River,28.2566,103.6491,exact,13860.0,13860.0,0.0,18 x 770 MW,operating,conventional storage,China Yangzi River Three Gorges Group,Yanguang Life Insurance Shareholding CO LTD- Wanneng [1%]; China Yangzi River Three Gorges Group Co Ltd [54%]; Yunnan Province Energy Investment Group Co Ltd [3%]; publicly traded shares [14%]; China Nuclear Industry Group Co Ltd [1%]; China Securities and Finance Shareholding Co Ltd [2%]; Hong Kong Central Accounting Co Ltd [7%]; China Three Gorges Construction (Group) Co Ltd [3%]; Sichuan Province Energy Investment Group Co Ltd [3%]; Yangguang Life Insurance CO LTD- Jili [1%]; China Ping'an Life Insurance Shareholding Co Ltd [4%],2014.0,,,No,L100000601292,G100000601308,https://www.gem.wiki/Xiluodu_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-09-14 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,0f2af76225b1410fcce55f50cd7ef00c0139f3bfde20f7c187900bd9471818df,A,1,not_started,not_started,no,
GEM-G100000600220,station,facility_or_project_row,Belo Monte hydroelectric plant,,Usina Hidrelétrica Belo Monte,Brazil,,Americas,Latin America and the Caribbean,Pará,,,Região Geográfica Intermediária de Altamira,Rio Xingu,-3.1264,-51.775,exact,11233.0,11233.0,0.0,18 x 611 MW; 6 x 39 MW,operating,conventional storage,Norte Energia,Norte Energia SA [100%],2016.0,,,No,L100000600220,G100000600220,https://www.gem.wiki/Belo_Monte_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-05-20 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,8486aeea15efbcf234fc08168ab7653b41841c8fc2c920aa16127745a7fa562a,A,1,not_started,not_started,no,
GEM-G100000601256,station,facility_or_project_row,Wudongde hydroelectric plant,,金沙江乌东德水电站,China,,Asia,Eastern Asia,Yunnan,,Luquan,Kunming,Jinshajiang River,26.318,102.6338,exact,10200.0,10200.0,0.0,12 x 850 MW,operating,conventional storage,China Yangzi River Three Gorges Group,Yanguang Life Insurance Shareholding CO LTD- Wanneng [1%]; China Yangzi River Three Gorges Group Co Ltd [54%]; Yunnan Province Energy Investment Group Co Ltd [3%]; publicly traded shares [14%]; China Nuclear Industry Group Co Ltd [1%]; China Securities and Finance Shareholding Co Ltd [2%]; Hong Kong Central Accounting Co Ltd [7%]; China Three Gorges Construction (Group) Co Ltd [3%]; Sichuan Province Energy Investment Group Co Ltd [3%]; Yangguang Life Insurance CO LTD- Jili [1%]; China Ping'an Life Insurance Shareholding Co Ltd [4%],2021.0,,,No,L100000601240,G100000601256,https://www.gem.wiki/Wudongde_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-09-14 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,a783ac53840ef1bb9d7fcf4ac8d57a324d4c388de8f0252a42b1eb444e0300e3,A,1,not_started,not_started,no,
GEM-G100000604023,station,facility_or_project_row,Guri hydroelectric plant,"Simón Bolívar, Raul Leoni",Central Hidroeléctrica Guri,Venezuela,,Americas,Latin America and the Caribbean,Orinoco,,,,Río Caroní,7.7659,-62.9982,exact,10200.0,10200.0,0.0,20,operating,conventional storage,CVG Electrification del Caroni CA (Edelca),Corporación Eléctrica Nacional SA [100%],1986.0,,,No,L100000603984,G100000604023,https://www.gem.wiki/Guri_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-05-24 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,dfcd999eaeb9254de0e144f6d866f628f3b4bfe2eb875c8f2f087017f857f196,A,1,not_started,not_started,no,
GEM-G100000600359,station,facility_or_project_row,Tucuruí hydroelectric plant,,Usina Hidrelétrica Tucuruí,Brazil,,Americas,Latin America and the Caribbean,Pará,Tucuruí,,Região Geográfica Intermediária de Marabá,Rio Tocantins,-3.8316,-49.6431,exact,8535.0,8535.0,0.0,12 x 350 MW; 2 x 25 MW; 11 x 375 MW,operating,conventional storage,Eletrobras Eletronorte,Eletrobras Eletronorte [100%],1984.0,,,No,L100000600358,G100000600359,https://www.gem.wiki/Tucuruí_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-05-20 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,092a27195b9730b29710ea48b13f46efaf94e9edab49ca4b22a01833a2326e03,A,1,not_started,not_started,no,
GEM-G100000601278,station,facility_or_project_row,Xiangjiaba hydroelectric plant,,金沙江向家坝水电站,China,,Asia,Eastern Asia,Yunnan,Shulou,Shuifu City,Zhaotong,Jinshajiang River,28.6408,104.3924,exact,7750.0,7750.0,0.0,8 x 800 MW; 3 x 450 MW,operating,conventional storage,China Yangzi River Three Gorges Group,Yanguang Life Insurance Shareholding CO LTD- Wanneng [1%]; China Yangzi River Three Gorges Group Co Ltd [54%]; Yunnan Province Energy Investment Group Co Ltd [3%]; publicly traded shares [14%]; China Nuclear Industry Group Co Ltd [1%]; China Securities and Finance Shareholding Co Ltd [2%]; Hong Kong Central Accounting Co Ltd [7%]; China Three Gorges Construction (Group) Co Ltd [3%]; Sichuan Province Energy Investment Group Co Ltd [3%]; Yangguang Life Insurance CO LTD- Jili [1%]; China Ping'an Life Insurance Shareholding Co Ltd [4%],2012.0,,,No,L100000601262,G100000601278,https://www.gem.wiki/Xiangjiaba_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-09-14 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,52907da7c6e8766028ad959e872b6deb68842c00747b7f0b03fb6ebecf400c82,A,1,not_started,not_started,no,
GEM-G100000603307,station,facility_or_project_row,Sayano-Shushenskaya hydroelectric plant,,Саяно-Шушенская ГЭС,Russia,,Europe,Eastern Europe,Republic of Khakassia,,городской округ Саяногорск,,Yenisei River,52.8267,91.3725,exact,6400.0,6400.0,0.0,10 x 640 MW,operating,conventional storage,Sayano-Shushenskaya HPP,PJSC RusHydro [100%],1978.0,,,No,L100000603272,G100000603307,https://www.gem.wiki/Sayano-Shushenskaya_hydroelectric_plant,Data,primary_30MW_plus,GEM_GHT,https://globalenergymonitor.org/projects/global-hydropower-tracker,https://zenodo.org/api/records/20843067/files/GEM_GHPT.xlsx/content,2022-09-16 00:00:00,GEM Global Hydropower Tracker - March 2026 release,seed-v1,4a2d011c886fc49fca85d4d4da566ee00b874f205d20b284534624860400bdee,A,1,not_started,not_started,no,
